tree	lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen	taxa
0	0	14	0.62304	0.685039	non-Chile	0.616438	0.19726100000000002	hCoV-19/Chile/MA-55150/2021|EPI_ISL_1633488|2021-03-01; hCoV-19/Chile/AT-112251/2021|EPI_ISL_2892703|2021-06-13; hCoV-19/Chile/AT-133913/2021|EPI_ISL_3537177|2021-07-31; hCoV-19/Chile/AT-112264/2021|EPI_ISL_2892705|2021-06-02; hCoV-19/Chile/AT-109152/2021|EPI_ISL_2756265|2021-06-06; hCoV-19/Chile/AT-109156/2021|EPI_ISL_2756268|2021-06-06; hCoV-19/Chile/AT-127771/2021|EPI_ISL_3368776|2021-07-18; hCoV-19/Chile/CO-114805/2021|EPI_ISL_2892764|2021-06-21; hCoV-19/Chile/AT-133916/2021|EPI_ISL_3537179|2021-08-01; hCoV-19/Chile/AT-127766/2021|EPI_ISL_3368774|2021-07-18; hCoV-19/Chile/AT-127770/2021|EPI_ISL_3368775|2021-07-18; hCoV-19/Chile/AT-116106/2021|EPI_ISL_2892688|2021-06-21; hCoV-19/Chile/AT-116107/2021|EPI_ISL_2892689|2021-06-21; hCoV-19/Chile/AT-96310/2021|EPI_ISL_12144372|2021-05-16
0	1	1	0.20821800000000001	0.6211530000000001	non-Chile	0.20821800000000001	0.20821800000000001	hCoV-19/Chile/BI-131093/2021|EPI_ISL_3363528|2021-07-28
0	2	2	0.606307	0.606712	non-Chile	0.59452	0.531506	hCoV-19/Chile/RM-49333/2021|EPI_ISL_1470418|2021-03-09; hCoV-19/Chile/RM-70226/2021|EPI_ISL_1633508|2021-04-01
0	3	1	0.31232899999999997	0.662184	non-Chile	0.31232899999999997	0.31232899999999997	hCoV-19/Chile/RM-114446/2021|EPI_ISL_2892899|2021-06-20
0	4	1	0.5753440000000001	0.578038	non-Chile	0.5753440000000001	0.5753440000000001	hCoV-19/Chile/RM-55193/2021|EPI_ISL_1633487|2021-03-16
0	5	1	0.27397300000000013	0.3495680000000001	non-Chile	0.27397300000000013	0.27397300000000013	hCoV-19/Chile/RM-120284/2021|EPI_ISL_3185392|2021-07-04
0	6	1	0.465754	0.700286	non-Chile	0.465754	0.465754	hCoV-19/Chile/RM-85075/2021|EPI_ISL_12145279|2021-04-25
0	7	2	0.17445299999999997	0.48839000000000005	non-Chile	0.16712300000000002	0.16712300000000002	hCoV-19/Chile/TA-139692/2021|EPI_ISL_3988262|2021-08-12; hCoV-19/Chile/TA-139696/2021|EPI_ISL_3988265|2021-08-12
0	8	1	0.7698630000000001	0.780054	non-Chile	0.7698630000000001	0.7698630000000001	hCoV-19/Chile/RM-3596/2021|EPI_ISL_1167931|2021-01-04
0	9	1	0.44383600000000006	0.696847	non-Chile	0.44383600000000006	0.44383600000000006	hCoV-19/Chile/RM-88280/2021|EPI_ISL_2391197|2021-05-03
0	10	1	0.19178200000000012	0.21095400000000009	non-Chile	0.19178200000000012	0.19178200000000012	hCoV-19/Chile/VS-133997/2021|EPI_ISL_3537184|2021-08-03
0	11	2	0.3443520000000001	0.3543870000000001	non-Chile	0.3424670000000001	0.28219300000000014	hCoV-19/Chile/VS-107520/2021|EPI_ISL_2756334|2021-06-09; hCoV-19/Chile/VS-121047/2021|EPI_ISL_3132269|2021-07-01
