month,Alpha.EII,Delta.EII,Gamma.EII,Lambda.EII,Mu.EII,Others.EII
2020-11-01,NA,NA,NA,NA,NA,NA
2020-12-01,NA,NA,NA,NA,NA,NA
2021-01-01,0.0717105155331111,0,0.681249897564556,2.68914433249167,0,8.31841980184089
2021-02-01,0,0,1.73106851866493,6.79604677698082,0,9.36059273055849
2021-03-01,0.422976386857791,0,2.96083470800454,17.0130502269467,0,4.08877173962532
2021-04-01,0.293570934624473,0,3.81642215011815,19.9921806479266,0,1.26235501888523
2021-05-01,0.0357469713190815,0.0536204569786222,2.48441450667616,9.79467014142833,0.0536204569786222,0.428963655828978
2021-06-01,0,0.12829258416974,2.44672285523718,9.06295469599089,0.109965072145491,0.3024039484001
2021-07-01,0,0.529502017806105,2.41886149043244,4.00736754385075,0.228648598598091,0.0601706838416029
2021-08-01,0,1.3948972399411,1.67590809167681,1.53370982935272,0.31825325377297,0.0236997103873488
2021-09-01,0,2.045160035631,0.756914288483304,0.434386771469482,0.147281351699953,0.00559296272278303
2021-10-01,0,3.40257762860694,0.238777377446101,0.0840142624347392,0.0751706558626614,0
